Name,vp_name,ep_name,Directed,N,E,Community Size-SBM,Community Size-SBM_DC,Community Size-Louvain,Community Size-Infomap,Community Size-Spectral,Community Size-DNGR,Community Eligible Size-SBM,Community Eligible Size-SBM_DC,Community Eligible Size-Louvain,Community Eligible Size-Infomap,Community Eligible Size-Spectral,Community Eligible Size-DNGR,Description Length-SBM,Description Length-SBM_DC,Description Length-Louvain,Description Length-Infomap,Description Length-Spectral,Description Length-DNGR,Modularity-SBM,Modularity-SBM_DC,Modularity-Louvain,Modularity-Infomap,Modularity-Spectral,Modularity-DNGR,Interaction Fraction-SBM,Interaction Fraction-SBM_DC,Interaction Fraction-Louvain,Interaction Fraction-Infomap,Interaction Fraction-Spectral,Interaction Fraction-DNGR,Interaction Fraction All-SBM,Interaction Fraction All-SBM_DC,Interaction Fraction All-Louvain,Interaction Fraction All-Infomap,Interaction Fraction All-Spectral,Interaction Fraction All-DNGR
blumenau_drug,title,weight,False,75,181,21,19,5,9,9,10,4,3,4,6,7,5,661.2529624920355,749.1540641258755,697.754558056031,745.7879133293318,742.1273712095749,777.1808680725819,-0.04176288171146585,-0.0038381215213602587,0.4632257199087805,0.4575492453456562,0.44807297800841517,0.11968643731018215,{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.4, 'Core-Periphery': 0.6}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.4, 'U-C1': 0.6}"
celegans_metabolic,title,,False,453,4574,38,32,10,37,3,10,18,21,8,20,2,10,9807.75508749374,10835.774493911242,12420.659721824588,13304.136051446267,13491.63332362692,12727.996448712973,0.015758573388203013,0.019984392623075744,0.42503715896966937,0.40904581618655683,0.036826581313824144,0.24251217802164304,{'Assortative': 1.0},"{'Assortative': 0.9333333333333333, 'Core-Periphery': 0.05714285714285714, 'Disassortative': 0.009523809523809525}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.8444444444444444, 'Core-Periphery': 0.15555555555555556}",{'U-A1': 1.0},"{'U-A1': 0.9333333333333333, 'U-C1': 0.05714285714285714, 'U-D1': 0.009523809523809525}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.8444444444444444, 'U-C1': 0.15555555555555556}"
celegansneural,title,value,True,297,2359,40,29,7,18,31,10,21,18,7,15,19,9,8170.072699329312,9216.722256422005,9511.579926167864,9583.526806782433,10442.142150878328,9819.826269797655,-0.006847294751295559,0.0007018382186313261,0.4779139567113141,0.4307718124112427,0.30429620750201225,0.12916852061976225,"{'Assortative': 0.8285714285714286, 'Core-Periphery': 0.09047619047619047, 'Disassortative': 0.004761904761904762, 'Source-Basin': 0.0761904761904762}","{'Assortative': 0.7581699346405228, 'Core-Periphery': 0.09803921568627451, 'Disassortative': 0.026143790849673203, 'Source-Basin': 0.11764705882352941}",{'Assortative': 1.0},"{'Assortative': 0.9619047619047619, 'Core-Periphery': 0.0380952380952381}","{'Assortative': 0.9649122807017544, 'Core-Periphery': 0.03508771929824561}","{'Assortative': 0.5555555555555556, 'Core-Periphery': 0.3333333333333333, 'Source-Basin': 0.1111111111111111}","{'D-A1': 0.5142857142857142, 'D-A2': 0.3142857142857143, 'D-C1': 0.05714285714285714, 'D-C2': 0.02857142857142857, 'D-C3': 0.004761904761904762, 'D-D1': 0.004761904761904762, 'D-D3': 0.009523809523809525, 'D-D5': 0.03333333333333333, 'D-D6': 0.03333333333333333}","{'D-A1': 0.43790849673202614, 'D-A2': 0.3202614379084967, 'D-C1': 0.013071895424836602, 'D-C2': 0.0784313725490196, 'D-C4': 0.006535947712418301, 'D-D1': 0.006535947712418301, 'D-D2': 0.0196078431372549, 'D-D3': 0.026143790849673203, 'D-D4': 0.006535947712418301, 'D-D5': 0.013071895424836602, 'D-D6': 0.0718954248366013}","{'D-A1': 0.47619047619047616, 'D-A2': 0.5238095238095238}","{'D-A1': 0.6, 'D-A2': 0.3619047619047619, 'D-C2': 0.0380952380952381}","{'D-A1': 0.32748538011695905, 'D-A2': 0.6374269005847953, 'D-C2': 0.03508771929824561}","{'D-A1': 0.2222222222222222, 'D-A2': 0.3333333333333333, 'D-C1': 0.19444444444444445, 'D-C2': 0.08333333333333333, 'D-C4': 0.05555555555555555, 'D-D5': 0.05555555555555555, 'D-D6': 0.05555555555555555}"
cintestinalis,title,depth,True,205,2854,11,8,5,9,6,10,7,6,5,6,6,10,8304.660723853316,9504.679884472429,9145.91476389935,9277.02595502198,9179.40543192551,9380.871106146436,0.03127160972429795,0.05296020446225528,0.4371522333275785,0.3941130393549842,0.38052833140129394,0.19148132084545025,"{'Assortative': 0.5714285714285714, 'Core-Periphery': 0.14285714285714285, 'Source-Basin': 0.2857142857142857}","{'Assortative': 0.6, 'Core-Periphery': 0.2, 'Disassortative': 0.06666666666666667, 'Source-Basin': 0.13333333333333333}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9333333333333333, 'Source-Basin': 0.06666666666666667}","{'Assortative': 0.7777777777777778, 'Core-Periphery': 0.17777777777777778, 'Source-Basin': 0.044444444444444446}","{'D-A1': 0.23809523809523808, 'D-A2': 0.3333333333333333, 'D-C1': 0.047619047619047616, 'D-C2': 0.09523809523809523, 'D-D4': 0.09523809523809523, 'D-D5': 0.09523809523809523, 'D-D6': 0.09523809523809523}","{'D-A1': 0.5333333333333333, 'D-A2': 0.06666666666666667, 'D-C2': 0.2, 'D-D1': 0.06666666666666667, 'D-D5': 0.06666666666666667, 'D-D6': 0.06666666666666667}","{'D-A1': 0.6, 'D-A2': 0.4}","{'D-A1': 0.6, 'D-A2': 0.4}","{'D-A1': 0.5333333333333333, 'D-A2': 0.4, 'D-D6': 0.06666666666666667}","{'D-A1': 0.5555555555555556, 'D-A2': 0.2222222222222222, 'D-C1': 0.08888888888888889, 'D-C2': 0.06666666666666667, 'D-C4': 0.022222222222222223, 'D-D3': 0.022222222222222223, 'D-D5': 0.022222222222222223}"
foodweb_little_rock,title,,True,183,2476,18,12,3,6,4,10,13,9,3,5,4,10,4024.425843750676,4615.26956335141,5797.571404342726,5550.869959297027,5588.8418138423785,5808.230091577052,0.011089985671819421,0.02468462995972973,0.3541954295974799,0.3192437382719014,0.35355323871688404,0.06764992392231986,"{'Assortative': 0.5769230769230769, 'Core-Periphery': 0.0641025641025641, 'Disassortative': 0.08974358974358974, 'Source-Basin': 0.2692307692307692}","{'Assortative': 0.5555555555555556, 'Core-Periphery': 0.16666666666666666, 'Disassortative': 0.027777777777777776, 'Source-Basin': 0.25}",{'Assortative': 1.0},"{'Assortative': 0.5, 'Source-Basin': 0.5}",{'Assortative': 1.0},"{'Assortative': 0.35555555555555557, 'Core-Periphery': 0.15555555555555556, 'Disassortative': 0.022222222222222223, 'Source-Basin': 0.4666666666666667}","{'D-A1': 0.46153846153846156, 'D-A2': 0.11538461538461539, 'D-C1': 0.01282051282051282, 'D-C2': 0.01282051282051282, 'D-C3': 0.02564102564102564, 'D-C4': 0.01282051282051282, 'D-D1': 0.01282051282051282, 'D-D2': 0.07692307692307693, 'D-D3': 0.05128205128205128, 'D-D4': 0.14102564102564102, 'D-D5': 0.038461538461538464, 'D-D6': 0.038461538461538464}","{'D-A1': 0.4444444444444444, 'D-A2': 0.1111111111111111, 'D-C1': 0.05555555555555555, 'D-C2': 0.05555555555555555, 'D-C4': 0.05555555555555555, 'D-D2': 0.027777777777777776, 'D-D3': 0.16666666666666666, 'D-D4': 0.08333333333333333}","{'D-A1': 0.6666666666666666, 'D-A2': 0.3333333333333333}","{'D-A1': 0.3, 'D-A2': 0.2, 'D-D3': 0.1, 'D-D6': 0.4}","{'D-A1': 0.8333333333333334, 'D-A2': 0.16666666666666666}","{'D-A1': 0.26666666666666666, 'D-A2': 0.08888888888888889, 'D-C2': 0.022222222222222223, 'D-C4': 0.13333333333333333, 'D-D2': 0.022222222222222223, 'D-D3': 0.2222222222222222, 'D-D4': 0.08888888888888889, 'D-D5': 0.022222222222222223, 'D-D6': 0.13333333333333333}"
fresh_websAkatoreA,title,,True,84,227,5,2,6,26,1,10,4,2,6,5,1,6,535.8352953778735,697.2547457662968,837.7409696247078,1126.2815612059924,726.108719722818,927.901885072444,-0.0004463505986919917,-0.0033767393118438026,0.3348405752100758,0.21219119330862232,0.0,-0.013662209629529005,"{'Assortative': 0.16666666666666666, 'Disassortative': 0.3333333333333333, 'Source-Basin': 0.5}",{'Disassortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.8, 'Source-Basin': 0.2}",0,"{'Assortative': 0.5333333333333333, 'Core-Periphery': 0.06666666666666667, 'Disassortative': 0.26666666666666666, 'Source-Basin': 0.13333333333333333}","{'D-A1': 0.16666666666666666, 'D-D1': 0.16666666666666666, 'D-D2': 0.16666666666666666, 'D-D4': 0.16666666666666666, 'D-D5': 0.3333333333333333}",{'D-D1': 1.0},"{'D-A1': 0.6, 'D-A2': 0.4}","{'D-A1': 0.6, 'D-A2': 0.2, 'D-D3': 0.1, 'D-D6': 0.1}",0,"{'D-A1': 0.5333333333333333, 'D-C4': 0.06666666666666667, 'D-D1': 0.06666666666666667, 'D-D2': 0.2, 'D-D4': 0.13333333333333333}"
fullerene_structuresC1500,title,,False,1500,2250,13,9,18,117,25,10,13,9,18,117,25,10,13358.038647131047,13872.30891662437,14140.125708367113,18659.60050451902,14471.90857871688,13874.31166351743,0.05448000000000001,0.03251111111111111,0.8369857777777779,0.7413395555555556,0.8365644444444444,0.814656888888889,"{'Assortative': 0.5128205128205128, 'Core-Periphery': 0.2692307692307692, 'Disassortative': 0.21794871794871795}","{'Assortative': 0.3888888888888889, 'Core-Periphery': 0.4166666666666667, 'Disassortative': 0.19444444444444445}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.5128205128205128, 'U-C1': 0.2692307692307692, 'U-D1': 0.21794871794871795}","{'U-A1': 0.3888888888888889, 'U-C1': 0.4166666666666667, 'U-D1': 0.19444444444444445}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
human_brainsBNU1_0025864_1_DTI_AAL,title,,False,116,1563,12,8,4,2,4,10,10,7,4,2,4,8,2605.196787203986,3000.9654460465827,3138.9265008853845,3282.0248183021176,3132.1787414591304,3209.1122538272075,0.008175912178992035,0.008716033645944747,0.37656740629946595,0.18273502447227122,0.37909343098500226,0.19055829197996374,"{'Assortative': 0.8888888888888888, 'Core-Periphery': 0.1111111111111111}","{'Assortative': 0.9523809523809523, 'Core-Periphery': 0.047619047619047616}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.8888888888888888, 'U-C1': 0.1111111111111111}","{'U-A1': 0.9523809523809523, 'U-C1': 0.047619047619047616}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
interactome_figeys,title,,True,2217,6438,16,8,13,511,4,10,13,8,12,106,4,9,25004.18456673146,29182.259008291247,30790.76938140548,52991.89044447732,29749.161977539512,30484.891622196817,0.014146646566224231,0.010060426786010832,0.4626690835836962,0.2943459254478954,0.4360850470292254,0.009055766567737513,"{'Assortative': 0.16666666666666666, 'Core-Periphery': 0.16666666666666666, 'Disassortative': 0.10256410256410256, 'Source-Basin': 0.5641025641025641}","{'Assortative': 0.10714285714285714, 'Core-Periphery': 0.35714285714285715, 'Disassortative': 0.03571428571428571, 'Source-Basin': 0.5}",{'Assortative': 1.0},"{'Assortative': 0.9994609164420485, 'Core-Periphery': 0.00017969451931716083, 'Source-Basin': 0.00035938903863432165}",{'Assortative': 1.0},"{'Assortative': 0.19444444444444445, 'Core-Periphery': 0.027777777777777776, 'Source-Basin': 0.7777777777777778}","{'D-A1': 0.15384615384615385, 'D-A2': 0.01282051282051282, 'D-C1': 0.0641025641025641, 'D-C2': 0.038461538461538464, 'D-C3': 0.038461538461538464, 'D-C4': 0.02564102564102564, 'D-D1': 0.02564102564102564, 'D-D2': 0.07692307692307693, 'D-D3': 0.05128205128205128, 'D-D4': 0.16666666666666666, 'D-D5': 0.24358974358974358, 'D-D6': 0.10256410256410256}","{'D-A1': 0.07142857142857142, 'D-A2': 0.03571428571428571, 'D-C1': 0.03571428571428571, 'D-C2': 0.25, 'D-C3': 0.03571428571428571, 'D-C4': 0.03571428571428571, 'D-D1': 0.03571428571428571, 'D-D3': 0.14285714285714285, 'D-D4': 0.10714285714285714, 'D-D5': 0.10714285714285714, 'D-D6': 0.14285714285714285}","{'D-A1': 0.24242424242424243, 'D-A2': 0.7575757575757576}","{'D-A1': 0.49101527403414197, 'D-A2': 0.5084456424079066, 'D-C2': 0.00017969451931716083, 'D-D6': 0.00035938903863432165}","{'D-A1': 0.6666666666666666, 'D-A2': 0.3333333333333333}","{'D-A1': 0.16666666666666666, 'D-A2': 0.027777777777777776, 'D-C2': 0.027777777777777776, 'D-D3': 0.08333333333333333, 'D-D4': 0.1111111111111111, 'D-D5': 0.1111111111111111, 'D-D6': 0.4722222222222222}"
interactome_pdz,title,,False,161,209,4,2,11,17,1,10,4,2,11,13,1,10,710.1090523216945,924.4438244025177,1116.6036086659506,1207.6787360282735,981.7113843916711,1137.90931275704,0.035976740459238606,0.020867196263821816,0.7447288294681897,0.7431148554291339,0.0,0.6465969185687139,"{'Assortative': 0.3333333333333333, 'Core-Periphery': 0.3333333333333333, 'Disassortative': 0.3333333333333333}",{'Disassortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},0,"{'Assortative': 0.9555555555555556, 'Core-Periphery': 0.044444444444444446}","{'U-A1': 0.3333333333333333, 'U-C1': 0.3333333333333333, 'U-D1': 0.3333333333333333}",{'U-D1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},0,"{'U-A1': 0.9555555555555556, 'U-C1': 0.044444444444444446}"
