Category,Name,vp_name,ep_name,Directed,N,E,Community Size-SBM,Community Size-SBM_DC,Community Size-Louvain,Community Size-Infomap,Community Size-Spectral,Community Size-DNGR,Community Eligible Size-SBM,Community Eligible Size-SBM_DC,Community Eligible Size-Louvain,Community Eligible Size-Infomap,Community Eligible Size-Spectral,Community Eligible Size-DNGR,Description Length-SBM,Description Length-SBM_DC,Description Length-Louvain,Description Length-Infomap,Description Length-Spectral,Description Length-DNGR,Modularity-SBM,Modularity-SBM_DC,Modularity-Louvain,Modularity-Infomap,Modularity-Spectral,Modularity-DNGR,Interaction Fraction-SBM,Interaction Fraction-SBM_DC,Interaction Fraction-Louvain,Interaction Fraction-Infomap,Interaction Fraction-Spectral,Interaction Fraction-DNGR,Interaction Fraction All-SBM,Interaction Fraction All-SBM_DC,Interaction Fraction All-Louvain,Interaction Fraction All-Infomap,Interaction Fraction All-Spectral,Interaction Fraction All-DNGR
Social,facebook_friends,title,,FALSE,329,1954,17,10,9,20,8,10,14,10,8,13,7,9,4556.956536,5422.596383,5510.07097,5883.480538,5628.183146,5532.816312,-0.005647812,0.00111796,0.707235977,0.690354222,0.674807156,0.697124184,"{'Assortative': 0.978021978021978, 'Core-Periphery': 0.02197802197802198}","{'Assortative': 0.9555555555555556, 'Core-Periphery': 0.044444444444444446}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.978021978021978, 'U-C1': 0.02197802197802198}","{'U-A1': 0.9555555555555556, 'U-C1': 0.044444444444444446}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
Social,ego_socialgplus_100329698645326486178,title,,FALSE,2211,79585,99,87,10,11,24,10,87,82,10,9,24,10,222936.8158,227501.0102,248844.2177,259481.7977,247766.6725,251128.0299,-0.000263147,-0.000405583,0.294440202,0.090231567,0.222707128,0.213771561,"{'Assortative': 0.6273723603314622, 'Core-Periphery': 0.31141406041165465, 'Disassortative': 0.061213579256883185}","{'Assortative': 0.6193917494730503, 'Core-Periphery': 0.314062029509184, 'Disassortative': 0.06654622101776574}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9963768115942029, 'Core-Periphery': 0.0036231884057971015}","{'Assortative': 0.9333333333333333, 'Core-Periphery': 0.06666666666666667}","{'U-A1': 0.6273723603314622, 'U-C1': 0.31141406041165465, 'U-D1': 0.061213579256883185}","{'U-A1': 0.6193917494730503, 'U-C1': 0.314062029509184, 'U-D1': 0.06654622101776574}",{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.9963768115942029, 'U-C1': 0.0036231884057971015}","{'U-A1': 0.9333333333333333, 'U-C1': 0.06666666666666667}"
Social,facebook_organizationsL1,title,,FALSE,5793,45266,69,56,20,254,45,10,68,56,17,205,45,10,137980.7497,149271.4634,171311.0095,208112.4073,166431.3297,176055.4921,0.047793102,0.050182955,0.756418079,0.701678708,0.631698766,0.711590298,"{'Assortative': 0.9640035118525022, 'Core-Periphery': 0.03511852502194908, 'Disassortative': 0.000877963125548727}","{'Assortative': 0.9883116883116884, 'Core-Periphery': 0.01103896103896104, 'Disassortative': 0.0006493506493506494}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.997979797979798, 'Core-Periphery': 0.00202020202020202}",{'Assortative': 1.0},"{'U-A1': 0.9640035118525022, 'U-C1': 0.03511852502194908, 'U-D1': 0.000877963125548727}","{'U-A1': 0.9883116883116884, 'U-C1': 0.01103896103896104, 'U-D1': 0.0006493506493506494}",{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.997979797979798, 'U-C1': 0.00202020202020202}",{'U-A1': 1.0}
Social,facebook_organizationsM1,title,,FALSE,1429,32876,91,76,9,32,30,10,67,71,9,29,30,10,88853.14185,91919.85439,107166.6537,100538.79,101269.9329,107105.7953,0.010088949,0.010547254,0.500558461,0.488581107,0.426877112,0.453033207,"{'Assortative': 0.9570330167345092, 'Core-Periphery': 0.04296698326549073}","{'Assortative': 0.986317907444668, 'Core-Periphery': 0.013279678068410463, 'Disassortative': 0.00040241448692152917}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.9570330167345092, 'U-C1': 0.04296698326549073}","{'U-A1': 0.986317907444668, 'U-C1': 0.013279678068410463, 'U-D1': 0.00040241448692152917}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
Social,facebook_organizationsM2,title,,FALSE,3862,87324,157,133,13,40,113,10,154,132,13,38,113,10,319469.0104,330919.3607,375137.5507,356979.6777,353934.4977,387818.3586,0.008551669,0.008749575,0.552747344,0.527972163,0.336442946,0.508955493,"{'Assortative': 0.9934640522875817, 'Core-Periphery': 0.006535947712418301}","{'Assortative': 0.998380754105945, 'Core-Periphery': 0.0016192458940550544}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9998419721871049, 'Core-Periphery': 0.00015802781289506955}",{'Assortative': 1.0},"{'U-A1': 0.9934640522875817, 'U-C1': 0.006535947712418301}","{'U-A1': 0.998380754105945, 'U-C1': 0.0016192458940550544}",{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.9998419721871049, 'U-C1': 0.00015802781289506955}",{'U-A1': 1.0}
Social,facebook_organizationsS1,title,,FALSE,320,2369,21,17,9,15,8,10,18,15,9,13,8,10,6632.962069,7515.451568,7766.699981,8100.554806,7927.105787,7942.26485,0.022146906,0.027419652,0.44914802,0.351558963,0.338523966,0.31841852,"{'Assortative': 0.9607843137254902, 'Core-Periphery': 0.0392156862745098}","{'Assortative': 0.9428571428571428, 'Core-Periphery': 0.05714285714285714}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9555555555555556, 'Core-Periphery': 0.022222222222222223, 'Disassortative': 0.022222222222222223}","{'U-A1': 0.9607843137254902, 'U-C1': 0.0392156862745098}","{'U-A1': 0.9428571428571428, 'U-C1': 0.05714285714285714}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.9555555555555556, 'U-C1': 0.022222222222222223, 'U-D1': 0.022222222222222223}"
Social,facebook_organizationsS2,title,,FALSE,165,726,9,7,6,8,4,10,7,7,6,7,4,10,1958.49433,2343.658572,2365.301632,2387.347984,2387.956665,2485.234773,0.010036503,0.039200229,0.508553795,0.508204699,0.405038363,0.372395063,"{'Assortative': 0.7142857142857143, 'Core-Periphery': 0.2857142857142857}","{'Assortative': 0.9047619047619048, 'Core-Periphery': 0.09523809523809523}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9555555555555556, 'Core-Periphery': 0.044444444444444446}","{'U-A1': 0.7142857142857143, 'U-C1': 0.2857142857142857}","{'U-A1': 0.9047619047619048, 'U-C1': 0.09523809523809523}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.9555555555555556, 'U-C1': 0.044444444444444446}"
Social,facebook_organizationsL2,title,,FALSE,5524,94218,134,115,10,53,121,10,130,115,10,51,121,10,351793.3575,364655.4986,421448.0148,387769.5226,406899.2153,424962.8389,0.011863919,0.014426225,0.611571296,0.585681989,0.390869545,0.561780923,"{'Assortative': 0.986881335718545, 'Core-Periphery': 0.01311866428145498}","{'Assortative': 0.997864225781846, 'Core-Periphery': 0.0021357742181540807}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9997245179063361, 'Core-Periphery': 0.0002754820936639118}",{'Assortative': 1.0},"{'U-A1': 0.986881335718545, 'U-C1': 0.01311866428145498}","{'U-A1': 0.997864225781846, 'U-C1': 0.0021357742181540807}",{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.9997245179063361, 'U-C1': 0.0002754820936639118}",{'U-A1': 1.0}
Social,anybeat,title,,TRUE,12645,67053,69,46,45,779,5,10,54,42,24,317,3,10,275784.9379,310089.7553,337145.5915,498334.1195,350829.4781,351609.4708,0.001024251,0.000441133,0.45495892,0.372745946,0.009938859,0.146585537,"{'Assortative': 0.5744234800838575, 'Core-Periphery': 0.22152341020265548, 'Disassortative': 0.02166317260656883, 'Source-Basin': 0.18238993710691823}","{'Assortative': 0.6480836236933798, 'Core-Periphery': 0.15563298490127758, 'Disassortative': 0.010452961672473868, 'Source-Basin': 0.18583042973286876}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.5333333333333333, 'Core-Periphery': 0.13333333333333333, 'Disassortative': 0.06666666666666667, 'Source-Basin': 0.26666666666666666}","{'D-A1': 0.33752620545073375, 'D-A2': 0.23689727463312368, 'D-C1': 0.12299091544374563, 'D-C2': 0.07407407407407407, 'D-C3': 0.020964360587002098, 'D-C4': 0.0034940600978336828, 'D-D1': 0.010482180293501049, 'D-D2': 0.011180992313067784, 'D-D3': 0.002795248078266946, 'D-D4': 0.0069881201956673656, 'D-D5': 0.1243885394828791, 'D-D6': 0.04821802935010482}","{'D-A1': 0.36469221835075494, 'D-A2': 0.28339140534262486, 'D-C1': 0.09407665505226481, 'D-C2': 0.05110336817653891, 'D-C3': 0.004645760743321719, 'D-C4': 0.005807200929152149, 'D-D1': 0.006968641114982578, 'D-D2': 0.003484320557491289, 'D-D3': 0.003484320557491289, 'D-D4': 0.009291521486643438, 'D-D5': 0.10569105691056911, 'D-D6': 0.06736353077816493}","{'D-A1': 0.40217391304347827, 'D-A2': 0.5978260869565217}","{'D-A1': 0.44793954398434693, 'D-A2': 0.5520604560156531}","{'D-A1': 0.3333333333333333, 'D-A2': 0.6666666666666666}","{'D-A1': 0.4, 'D-A2': 0.13333333333333333, 'D-C1': 0.08888888888888889, 'D-C2': 0.044444444444444446, 'D-D1': 0.022222222222222223, 'D-D2': 0.044444444444444446, 'D-D5': 0.08888888888888889, 'D-D6': 0.17777777777777778}"
Social,qa_usermathoverflow_c2a,title,,TRUE,13599,139534,135,91,38,539,11,10,80,82,10,191,11,10,530676.7947,561592.3694,612960.6242,848774.0844,600662.3505,640646.5821,0.000257648,-0.000153487,0.324214342,0.235006984,0.273054851,0.009507032,"{'Assortative': 0.4860759493670886, 'Core-Periphery': 0.19240506329113924, 'Disassortative': 0.004113924050632912, 'Source-Basin': 0.31740506329113927}","{'Assortative': 0.7383318277627221, 'Core-Periphery': 0.12345679012345678, 'Disassortative': 0.0015055706112616681, 'Source-Basin': 0.13670581150255948}",{'Assortative': 1.0},"{'Assortative': 0.9993386607880959, 'Core-Periphery': 0.000606227610912097, 'Source-Basin': 5.511160099200882e-05}","{'Assortative': 0.8909090909090909, 'Core-Periphery': 0.05454545454545454, 'Source-Basin': 0.05454545454545454}","{'Core-Periphery': 0.3111111111111111, 'Source-Basin': 0.6888888888888889}","{'D-A1': 0.29968354430379746, 'D-A2': 0.18639240506329113, 'D-C1': 0.09240506329113925, 'D-C2': 0.0889240506329114, 'D-C3': 0.005379746835443038, 'D-C4': 0.00569620253164557, 'D-D1': 0.0012658227848101266, 'D-D2': 0.002848101265822785, 'D-D3': 0.006645569620253164, 'D-D4': 0.007278481012658228, 'D-D5': 0.15253164556962026, 'D-D6': 0.1509493670886076}","{'D-A1': 0.3866305329719964, 'D-A2': 0.3517012947907257, 'D-C1': 0.06383619391749473, 'D-C2': 0.057512797350195724, 'D-C3': 0.0012044564890093346, 'D-C4': 0.0009033423667570009, 'D-D1': 0.00030111412225233364, 'D-D2': 0.0012044564890093346, 'D-D3': 0.0006022282445046673, 'D-D4': 0.0009033423667570009, 'D-D5': 0.08250526949713942, 'D-D6': 0.05269497139415839}","{'D-A1': 0.4666666666666667, 'D-A2': 0.5333333333333333}","{'D-A1': 0.3698815100578672, 'D-A2': 0.6294571507302287, 'D-C2': 0.000606227610912097, 'D-D6': 5.511160099200882e-05}","{'D-A1': 0.34545454545454546, 'D-A2': 0.5454545454545454, 'D-C1': 0.03636363636363636, 'D-C2': 0.01818181818181818, 'D-D5': 0.03636363636363636, 'D-D6': 0.01818181818181818}","{'D-C1': 0.08888888888888889, 'D-C2': 0.17777777777777778, 'D-C4': 0.044444444444444446, 'D-D3': 0.06666666666666667, 'D-D5': 0.5111111111111111, 'D-D6': 0.1111111111111111}"
Social,inploid,title,,TRUE,14360,57101,53,51,53,771,4,10,45,50,49,378,4,10,261356.8841,301577.335,321594.4103,461591.164,323778.5811,335813.8796,0.004260302,0.007412925,0.479525195,0.355881443,0.089859113,0.047391619,"{'Assortative': 0.5474747474747474, 'Core-Periphery': 0.21717171717171718, 'Disassortative': 0.00909090909090909, 'Source-Basin': 0.22626262626262628}","{'Assortative': 0.8, 'Core-Periphery': 0.10530612244897959, 'Source-Basin': 0.0946938775510204}",{'Assortative': 1.0},"{'Assortative': 0.9998877240256551, 'Core-Periphery': 9.824147755182238e-05, 'Source-Basin': 1.4034496793117482e-05}",{'Assortative': 1.0},"{'Assortative': 0.13333333333333333, 'Core-Periphery': 0.4222222222222222, 'Source-Basin': 0.4444444444444444}","{'D-A1': 0.3191919191919192, 'D-A2': 0.22828282828282828, 'D-C1': 0.10808080808080808, 'D-C2': 0.09797979797979799, 'D-C3': 0.006060606060606061, 'D-C4': 0.005050505050505051, 'D-D1': 0.00404040404040404, 'D-D2': 0.005050505050505051, 'D-D3': 0.014141414141414142, 'D-D4': 0.020202020202020204, 'D-D5': 0.10707070707070707, 'D-D6': 0.08484848484848485}","{'D-A1': 0.4440816326530612, 'D-A2': 0.35591836734693877, 'D-C1': 0.04326530612244898, 'D-C2': 0.05795918367346939, 'D-C3': 0.0032653061224489797, 'D-C4': 0.0008163265306122449, 'D-D3': 0.0008163265306122449, 'D-D4': 0.004897959183673469, 'D-D5': 0.04244897959183674, 'D-D6': 0.04653061224489796}","{'D-A1': 0.31037414965986393, 'D-A2': 0.689625850340136}","{'D-A1': 0.48704615945995255, 'D-A2': 0.5128415645657025, 'D-C2': 9.824147755182238e-05, 'D-D6': 1.4034496793117482e-05}","{'D-A1': 0.16666666666666666, 'D-A2': 0.8333333333333334}","{'D-A1': 0.08888888888888889, 'D-A2': 0.044444444444444446, 'D-C1': 0.13333333333333333, 'D-C2': 0.28888888888888886, 'D-D3': 0.022222222222222223, 'D-D5': 0.2, 'D-D6': 0.2222222222222222}"
Economic,faculty_hiring_usdomain_natural_sciences,title,total,TRUE,2142,30381,35,18,7,4,2,10,22,17,7,2,2,10,77545.49361,82145.18415,84735.2564,82313.53687,82856.37126,86700.3205,-0.002612404,-0.000351992,0.130368866,0.000285228,0.102305002,0.015770593,"{'Assortative': 0.16883116883116883, 'Core-Periphery': 0.42424242424242425, 'Source-Basin': 0.4069264069264069}","{'Assortative': 0.27205882352941174, 'Core-Periphery': 0.4338235294117647, 'Source-Basin': 0.29411764705882354}","{'Assortative': 0.8571428571428571, 'Core-Periphery': 0.14285714285714285}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.17777777777777778, 'Core-Periphery': 0.35555555555555557, 'Source-Basin': 0.4666666666666667}","{'D-A1': 0.09523809523809523, 'D-A2': 0.0735930735930736, 'D-C1': 0.17316017316017315, 'D-C2': 0.24242424242424243, 'D-C3': 0.004329004329004329, 'D-C4': 0.004329004329004329, 'D-D4': 0.047619047619047616, 'D-D5': 0.2943722943722944, 'D-D6': 0.06493506493506493}","{'D-A1': 0.058823529411764705, 'D-A2': 0.21323529411764705, 'D-C1': 0.1323529411764706, 'D-C2': 0.27941176470588236, 'D-C4': 0.022058823529411766, 'D-D3': 0.007352941176470588, 'D-D5': 0.20588235294117646, 'D-D6': 0.08088235294117647}","{'D-A1': 0.47619047619047616, 'D-A2': 0.38095238095238093, 'D-C2': 0.14285714285714285}",{'D-A1': 1.0},{'D-A2': 1.0},"{'D-A1': 0.08888888888888889, 'D-A2': 0.08888888888888889, 'D-C1': 0.24444444444444444, 'D-C2': 0.1111111111111111, 'D-D4': 0.022222222222222223, 'D-D5': 0.3111111111111111, 'D-D6': 0.13333333333333333}"
Economic,faculty_hiringbusiness,title,,TRUE,113,8539,19,10,3,10,1,10,9,7,3,1,1,6,9774.928994,10118.06882,11088.40145,11844.538,11319.94959,11449.17139,0.012668203,0.050091335,0.097440074,0.00213828,0,0.041747151,"{'Assortative': 0.05555555555555555, 'Core-Periphery': 0.8055555555555556, 'Source-Basin': 0.1388888888888889}","{'Assortative': 0.6190476190476191, 'Core-Periphery': 0.3333333333333333, 'Source-Basin': 0.047619047619047616}","{'Assortative': 0.3333333333333333, 'Core-Periphery': 0.6666666666666666}",0,0,"{'Core-Periphery': 0.8, 'Source-Basin': 0.2}","{'D-A1': 0.027777777777777776, 'D-A2': 0.027777777777777776, 'D-C1': 0.08333333333333333, 'D-C2': 0.6111111111111112, 'D-C3': 0.027777777777777776, 'D-C4': 0.08333333333333333, 'D-D6': 0.1388888888888889}","{'D-A1': 0.42857142857142855, 'D-A2': 0.19047619047619047, 'D-C2': 0.23809523809523808, 'D-C4': 0.09523809523809523, 'D-D3': 0.047619047619047616}","{'D-A1': 0.3333333333333333, 'D-C2': 0.6666666666666666}",0,0,"{'D-C1': 0.06666666666666667, 'D-C2': 0.4666666666666667, 'D-C3': 0.26666666666666666, 'D-D3': 0.13333333333333333, 'D-D6': 0.06666666666666667}"
Economic,faculty_hiringcomputer_science,title,,TRUE,206,4633,14,9,5,34,2,10,10,8,5,9,2,10,9451.991121,10528.26868,11243.2215,13349.00508,11082.85429,11694.04433,0.033458285,0.067675513,0.171052102,0.113788476,0.071231272,0.046798704,"{'Assortative': 0.3333333333333333, 'Core-Periphery': 0.6, 'Source-Basin': 0.06666666666666667}","{'Assortative': 0.5, 'Core-Periphery': 0.5}",{'Assortative': 1.0},"{'Assortative': 0.9722222222222222, 'Core-Periphery': 0.027777777777777776}",{'Assortative': 1.0},"{'Assortative': 0.3333333333333333, 'Core-Periphery': 0.5555555555555556, 'Source-Basin': 0.1111111111111111}","{'D-A1': 0.1111111111111111, 'D-A2': 0.2222222222222222, 'D-C1': 0.06666666666666667, 'D-C2': 0.4888888888888889, 'D-C4': 0.044444444444444446, 'D-D3': 0.022222222222222223, 'D-D6': 0.044444444444444446}","{'D-A1': 0.17857142857142858, 'D-A2': 0.32142857142857145, 'D-C2': 0.42857142857142855, 'D-C4': 0.07142857142857142}","{'D-A1': 0.1, 'D-A2': 0.9}","{'D-A1': 0.3055555555555556, 'D-A2': 0.6666666666666666, 'D-C2': 0.027777777777777776}",{'D-A1': 1.0},"{'D-A1': 0.13333333333333333, 'D-A2': 0.2, 'D-C1': 0.08888888888888889, 'D-C2': 0.3333333333333333, 'D-C4': 0.13333333333333333, 'D-D3': 0.044444444444444446, 'D-D5': 0.022222222222222223, 'D-D6': 0.044444444444444446}"
Economic,faculty_hiringhistory,title,,TRUE,145,4347,10,5,5,24,1,10,5,4,5,4,1,8,6793.814805,7613.13104,8052.905453,9416.345382,7811.420439,8229.368568,-0.005105184,0.017670865,0.098603029,0.035346479,0,0.000215939,"{'Core-Periphery': 0.9, 'Source-Basin': 0.1}",{'Core-Periphery': 1.0},"{'Assortative': 0.6, 'Core-Periphery': 0.4}","{'Assortative': 0.6666666666666666, 'Core-Periphery': 0.3333333333333333}",0,"{'Core-Periphery': 0.8214285714285714, 'Disassortative': 0.03571428571428571, 'Source-Basin': 0.14285714285714285}","{'D-C1': 0.2, 'D-C2': 0.3, 'D-C4': 0.4, 'D-D3': 0.1}","{'D-C2': 0.8333333333333334, 'D-C4': 0.16666666666666666}","{'D-A1': 0.1, 'D-A2': 0.5, 'D-C2': 0.4}","{'D-A2': 0.6666666666666666, 'D-C2': 0.3333333333333333}",0,"{'D-C1': 0.2857142857142857, 'D-C2': 0.32142857142857145, 'D-C3': 0.07142857142857142, 'D-C4': 0.14285714285714285, 'D-D1': 0.03571428571428571, 'D-D3': 0.03571428571428571, 'D-D5': 0.07142857142857142, 'D-D6': 0.03571428571428571}"
Economic,un_migrations,title,migration_2015_total,TRUE,232,11228,231,227,9,17,80,10,0,0,6,10,6,10,30885.26578,30632.89836,21542.6888,21422.29015,29570.22208,20811.33645,-0.012069078,-0.012103764,0.517226794,0.530926351,0.180040539,0.286215732,0,0,{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.7333333333333333, 'Source-Basin': 0.26666666666666666}","{'Assortative': 0.7777777777777778, 'Core-Periphery': 0.08888888888888889, 'Source-Basin': 0.13333333333333333}",0,0,"{'D-A1': 0.26666666666666666, 'D-A2': 0.7333333333333333}","{'D-A1': 0.4222222222222222, 'D-A2': 0.5777777777777777}","{'D-A1': 0.2, 'D-A2': 0.5333333333333333, 'D-D5': 0.2, 'D-D6': 0.06666666666666667}","{'D-A1': 0.35555555555555557, 'D-A2': 0.4222222222222222, 'D-C1': 0.022222222222222223, 'D-C2': 0.044444444444444446, 'D-C4': 0.022222222222222223, 'D-D4': 0.022222222222222223, 'D-D5': 0.044444444444444446, 'D-D6': 0.06666666666666667}"
Biological,blumenau_drug,title,weight,FALSE,75,181,21,19,5,9,9,10,4,3,4,6,7,5,661.2529625,749.1540641,697.7545581,745.7879133,742.1273712,777.1808681,-0.041762882,-0.003838122,0.46322572,0.457549245,0.448072978,0.119686437,{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.4, 'Core-Periphery': 0.6}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.4, 'U-C1': 0.6}"
Biological,celegans_metabolic,title,,FALSE,453,4574,38,32,10,37,3,10,18,21,8,20,2,10,9807.755087,10835.77449,12420.65972,13304.13605,13491.63332,12727.99645,0.015758573,0.019984393,0.425037159,0.409045816,0.036826581,0.242512178,{'Assortative': 1.0},"{'Assortative': 0.9333333333333333, 'Core-Periphery': 0.05714285714285714, 'Disassortative': 0.009523809523809525}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.8444444444444444, 'Core-Periphery': 0.15555555555555556}",{'U-A1': 1.0},"{'U-A1': 0.9333333333333333, 'U-C1': 0.05714285714285714, 'U-D1': 0.009523809523809525}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},"{'U-A1': 0.8444444444444444, 'U-C1': 0.15555555555555556}"
Biological,celegansneural,title,value,TRUE,297,2359,40,29,7,18,31,10,21,18,7,15,19,9,8170.072699,9216.722256,9511.579926,9583.526807,10442.14215,9819.82627,-0.006847295,0.000701838,0.477913957,0.430771812,0.304296208,0.129168521,"{'Assortative': 0.8285714285714286, 'Core-Periphery': 0.09047619047619047, 'Disassortative': 0.004761904761904762, 'Source-Basin': 0.0761904761904762}","{'Assortative': 0.7581699346405228, 'Core-Periphery': 0.09803921568627451, 'Disassortative': 0.026143790849673203, 'Source-Basin': 0.11764705882352941}",{'Assortative': 1.0},"{'Assortative': 0.9619047619047619, 'Core-Periphery': 0.0380952380952381}","{'Assortative': 0.9649122807017544, 'Core-Periphery': 0.03508771929824561}","{'Assortative': 0.5555555555555556, 'Core-Periphery': 0.3333333333333333, 'Source-Basin': 0.1111111111111111}","{'D-A1': 0.5142857142857142, 'D-A2': 0.3142857142857143, 'D-C1': 0.05714285714285714, 'D-C2': 0.02857142857142857, 'D-C3': 0.004761904761904762, 'D-D1': 0.004761904761904762, 'D-D3': 0.009523809523809525, 'D-D5': 0.03333333333333333, 'D-D6': 0.03333333333333333}","{'D-A1': 0.43790849673202614, 'D-A2': 0.3202614379084967, 'D-C1': 0.013071895424836602, 'D-C2': 0.0784313725490196, 'D-C4': 0.006535947712418301, 'D-D1': 0.006535947712418301, 'D-D2': 0.0196078431372549, 'D-D3': 0.026143790849673203, 'D-D4': 0.006535947712418301, 'D-D5': 0.013071895424836602, 'D-D6': 0.0718954248366013}","{'D-A1': 0.47619047619047616, 'D-A2': 0.5238095238095238}","{'D-A1': 0.6, 'D-A2': 0.3619047619047619, 'D-C2': 0.0380952380952381}","{'D-A1': 0.32748538011695905, 'D-A2': 0.6374269005847953, 'D-C2': 0.03508771929824561}","{'D-A1': 0.2222222222222222, 'D-A2': 0.3333333333333333, 'D-C1': 0.19444444444444445, 'D-C2': 0.08333333333333333, 'D-C4': 0.05555555555555555, 'D-D5': 0.05555555555555555, 'D-D6': 0.05555555555555555}"
